統一編號,類別,名稱
98998725,商業登記,上雅鐵板燒餐廳
98998730,商業登記,楊淑怡足畫工作室
98998746,商業登記,風華傢俱
98998751,商業登記,安勝機車行
98998767,商業登記,立揚企業社
98998773,商業登記,摩根企業社
98998788,商業登記,神龍企業社
98998794,商業登記,偉文企業社
98998801,商業登記,點石走廊水晶精品店
98998817,商業登記,吉昌商行
98998823,商業登記,興龍工程行
98998838,商業登記,毓香珍餐飲店
98998859,商業登記,凱聖汽車材料行
98998865,商業登記,嘉旺企業社
98998871,商業登記,永洤行
98998886,商業登記,新海餐飲店
98998892,商業登記,巨龍科技企業社
98998909,商業登記,信翔企業社
98998915,商業登記,台灣原聲報社
98998921,商業登記,振陽機車行
98998936,商業登記,育新電機企業社
98998942,商業登記,歇心茶樓
98998957,商業登記,萬花嶺花坊
98998963,商業登記,竹揚汽車中古商行
98998979,商業登記,宏績水電工程行
98998984,商業登記,寶興企業社
98999007,商業登記,通豪企業社
98999013,商業登記,昱豐工程行
98999029,商業登記,玫瑰房美容材料行
98999034,商業登記,杞林通信工程行
98999040,商業登記,溝貝小吃店
98999055,商業登記,草本生活館
98999061,商業登記,邁爾企業社
98999077,商業登記,元培青草行
98999082,商業登記,維納斯服飾行
98999323,商業登記,浩晟企業社
98999344,商業登記,仁和企業社
98999359,商業登記,國吟飲食店
98999365,商業登記,勤政不動產
98999371,商業登記,宜瑞企業社
98999386,商業登記,渤海禮儀企業社
98999392,商業登記,松崎事務機器商行
98999409,商業登記,弘鑫禮儀社
98999415,商業登記,一七環保工程行
98999421,商業登記,鑫沛企業社
98999436,商業登記,協興行
98999442,商業登記,川壽司
98999457,商業登記,醍居主廚之家
98999463,商業登記,志隴企業社
98999479,商業登記,愛得國際商社
98999484,商業登記,一祥翻譯社
98999490,商業登記,暐達油漆工程行
98999506,商業登記,富銓工程行
98999512,商業登記,香君服飾
98999528,商業登記,宏啟企業社
98999533,商業登記,明光大藥局
98999549,商業登記,大方鋁門窗行
98999554,商業登記,永昇實業社
98999560,商業登記,鴻誠商店
98999576,商業登記,宏昌企業社
98999581,商業登記,羽雄水電行
98999668,商業登記,定豐電器行
98999766,商業登記,成清行
98999772,商業登記,福興樓梯扶手
98999843,商業登記,竹仁商行
98999858,商業登記,康淳企業社
98999864,商業登記,玫瑰籐
98999870,商業登記,巨新工程行
98999885,商業登記,麗顏坊生活館
98999891,商業登記,昌鎮塑膠企業社
98999914,商業登記,永勝企業社
98999920,商業登記,娃娃屋
98999935,商業登記,淇淩工程行
98999941,商業登記,藍天企業社
98999956,商業登記,瑞成裝潢工程行
98999962,商業登記,黃金海岸活蝦之家餐廳
98999978,商業登記,日昇汽車電機行
98999983,商業登記,町彩粧精品
98999999,商業登記,集德企業社
99000018,商業登記,佳孋綉美妍館
99000024,商業登記,大四喜麵食館
99000039,商業登記,采慧商號
99000045,商業登記,下龍灣雅緻餐廳
99000050,商業登記,尚佶工程行
99000066,商業登記,北口陳商行
99000072,商業登記,喜寶寵物坊
99000087,商業登記,文化亭小吃店
99000093,商業登記,柏登企業社
99000100,商業登記,久阡美美容用品店
99000116,商業登記,城市綠洲商行
99000122,商業登記,山田花源屋
99000137,商業登記,五秀飲食店
99000143,商業登記,吉昌空調工程行
99000158,商業登記,康舒企業社
99000164,商業登記,君旺寵物家
99000170,商業登記,廣善禮儀社
99000185,商業登記,明吉維娜泰雅工作室
99000191,商業登記,悅洋水族生態設計
99000208,商業登記,東寧禮品店
99000214,商業登記,沛鑫企業社
99000220,商業登記,妙善坊
99000235,商業登記,建禾行銷企業社
99000241,商業登記,水明漾瘦身養生館
99000256,商業登記,經典影像攝影社
99000278,商業登記,藝術的家
99000283,商業登記,榮益土木包工業
99000299,商業登記,華隆電腦企業社
99000306,商業登記,元慶商行
99000312,商業登記,菲律賓飲食店
99000328,商業登記,康利企業社
99000333,商業登記,三德禮品社
99000349,商業登記,成大工程行
99000354,商業登記,天地光商行
99000360,商業登記,麗淳美容美體生活館
99000376,商業登記,森達皮鞋城
99000381,商業登記,丰采創意髮型
99000397,商業登記,甲吉土木包工業
99000404,商業登記,璟泰土木包工業
99000410,商業登記,奇漾地餐飲店
99000426,商業登記,新秀企業社
99000431,商業登記,正昕企業社
99000447,商業登記,熊寶寶商行
99000452,商業登記,大宅門餐廳
99000468,商業登記,東新布行
99000474,商業登記,永潔企業社
99000489,商業登記,藝之趣客家懐石
99000495,商業登記,盛維青果行
99000501,商業登記,私髮院
99000517,商業登記,晶菲平價造型髮藝
99000523,商業登記,茗揚服飾
99000544,商業登記,日友環保衛生工程行
99000559,商業登記,米雅商行
99000565,商業登記,龍彩企業社
99000586,商業登記,金美蛋行
99000592,商業登記,合進園藝行
99000609,商業登記,龍展企業社
99000615,商業登記,巧巧孩幼教用品社
99000621,商業登記,奕祥工程行
99000636,商業登記,元嘉企業社
99000642,商業登記,竹億企業社
99000657,商業登記,亞洲禮品社
99000663,商業登記,金來蔘藥行
99000679,商業登記,力量菜園
99000684,商業登記,福暄企業社
99000690,商業登記,瑞鴻企業社
99000707,商業登記,竹氤舫美妍舒活館
99000713,商業登記,大禾室內設計企業社
99000729,商業登記,熱力生活流行館
99000734,商業登記,歐歐小坊
99000755,商業登記,龍暹企業社
99000777,商業登記,盛鴻商號
99000782,商業登記,貝莉詩美容材料行
99000798,商業登記,阿娜答飲食店
99000805,商業登記,尚介青飲食店
99000811,商業登記,仲冠企業社
99000827,商業登記,天藝造園社
99000832,商業登記,青春商行
99000848,商業登記,弘偉果菜行
99000869,商業登記,映泰廣告企業社
99000951,商業登記,麗麗廣告印刷社
99001017,商業登記,聯興工程行
99001023,商業登記,恆億工程行
99001038,商業登記,立源水電工程行
99001044,商業登記,詠銘企業社
99001065,商業登記,日華實業
99001109,商業登記,睿祥桌球體育用品社
99001229,商業登記,長弘商行
99001261,商業登記,陸順企業社
99001298,商業登記,弘欣企業社
99001403,商業登記,盈萱美容材料行
99001446,商業登記,弘利企業社
99001564,商業登記,佳甡企業社
99001591,商業登記,絜園企業社
99001608,商業登記,新崙商行
99001614,商業登記,順意企業社
99001620,商業登記,昇峰機車行
99001635,商業登記,天祥水晶藝品
99001641,商業登記,明辰商行
99001656,商業登記,祥和企業社
99001662,商業登記,品香企業社
99001678,商業登記,衣品屋
99001683,商業登記,雙福油漆工程行
99001699,商業登記,仕邦工具行
99001706,商業登記,迦南企業社
99001712,商業登記,振宏工程行
99001728,商業登記,山田企業社
99001733,商業登記,千慶汽車電機行
99001749,商業登記,喵咪手染棉布店
99001760,商業登記,陳莉雅護膚坊
99001797,商業登記,佳茵企業社
99001804,商業登記,德源機車行
99001810,商業登記,蕙昌餐飲
99001826,商業登記,松霖東京火鍋
99001852,商業登記,梅嘎浪商店
99001868,商業登記,台灣茶舖
99001874,商業登記,沅鎮精密企業社
99001889,商業登記,歐品家具店
99001895,商業登記,粲鴻藝品企業社
99001902,商業登記,天師堂中藥行
99001918,商業登記,泰振企業社
99001924,商業登記,富虹企業社
99001939,商業登記,三郎小吃
99001945,商業登記,現代傢俱行
99001950,商業登記,鴻光工程行
99001966,商業登記,不老居商行
99001972,商業登記,卡潔精品販賣店
99001987,商業登記,百合內睡衣專賣店
99001993,商業登記,佳泓企業社
99002000,商業登記,榮祥企業社
99002016,商業登記,宏昇電腦資訊社
99002022,商業登記,符緹音樂藝術社
